,Postcode,OA_Code,Total,Percentage
L22 1RP: E00035252,L22 1RP,E00035252,18,13
L22 1RP: E00035253,L22 1RP,E00035253,118,87
L22 2AJ: E00035156,L22 2AJ,E00035156,3,3
L22 2AJ: E00035186,L22 2AJ,E00035186,108,95
L22 2AJ: E00035188,L22 2AJ,E00035188,3,3
L22 3XG: E00035246,L22 3XG,E00035246,109,99
L22 3XG: E00035277,L22 3XG,E00035277,1,1
L22 3YU: E00035270,L22 3YU,E00035270,20,87
L22 3YU: E00035272,L22 3YU,E00035272,3,13
L22 4QR: E00170488,L22 4QR,E00170488,5,26
L22 4QR: E00170493,L22 4QR,E00170493,7,37
L22 4QR: E00170494,L22 4QR,E00170494,7,37
L22 4QS: E00035242,L22 4QS,E00035242,34,87
L22 4QS: E00035270,L22 4QS,E00035270,3,8
L22 4QS: E00035272,L22 4QS,E00035272,2,5
L22 4RA: E00035267,L22 4RA,E00035267,67,56
L22 4RA: E00035992,L22 4RA,E00035992,52,44
L22 5NB: E00035249,L22 5NB,E00035249,4,80
L22 5NB: E00035280,L22 5NB,E00035280,1,20
L22 5NG: E00035247,L22 5NG,E00035247,0,0
L22 5NG: E00035275,L22 5NG,E00035275,7,100
L22 5NU: E00035247,L22 5NU,E00035247,2,40
L22 5NU: E00035250,L22 5NU,E00035250,3,60
L22 5PQ: E00035280,L22 5PQ,E00035280,39,93
L22 5PQ: E00035281,L22 5PQ,E00035281,3,7
L22 5PR: E00035280,L22 5PR,E00035280,3,5
L22 5PR: E00035281,L22 5PR,E00035281,53,95
L22 5QN: E00035254,L22 5QN,E00035254,6,35
L22 5QN: E00035281,L22 5QN,E00035281,11,65
L22 6QA: E00035156,L22 6QA,E00035156,35,95
L22 6QA: E00035192,L22 6QA,E00035192,2,5
L22 7RT: E00035243,L22 7RT,E00035243,2,6
L22 7RT: E00035268,L22 7RT,E00035268,33,94
L22 9QE: E00035972,L22 9QE,E00035972,23,96
L22 9QE: E00035995,L22 9QE,E00035995,1,4
L22 9QJ: E00035991,L22 9QJ,E00035991,94,99
L22 9QJ: E00035995,L22 9QJ,E00035995,1,1
L22 9RG: E00035244,L22 9RG,E00035244,3,4
L22 9RG: E00035275,L22 9RG,E00035275,75,96
L2  2DT: E00176625,L2  2DT,E00176625,1,50
L2  2DT: E00176686,L2  2DT,E00176686,1,50
L2  2DY: E00176660,L2  2DY,E00176660,5,38
L2  2DY: E00176686,L2  2DY,E00176686,8,62
L23 0RL: E00035989,L23 0RL,E00035989,40,91
L23 0RL: E00036009,L23 0RL,E00036009,4,9
L23 0RY: E00035983,L23 0RY,E00035983,62,90
L23 0RY: E00035988,L23 0RY,E00035988,7,10
L23 0TR: E00035997,L23 0TR,E00035997,2,12
L23 0TR: E00035999,L23 0TR,E00035999,15,88
L23 0UE: E00035973,L23 0UE,E00035973,4,7
L23 0UE: E00035974,L23 0UE,E00035974,52,93
L23 1TP: E00035699,L23 1TP,E00035699,1,4
L23 1TP: E00035700,L23 1TP,E00035700,25,89
L23 1TP: E00035704,L23 1TP,E00035704,2,7
L23 1TR: E00035602,L23 1TR,E00035602,52,44
L23 1TR: E00035699,L23 1TR,E00035699,65,56
L23 1TS: E00035408,L23 1TS,E00035408,5,33
L23 1TS: E00035699,L23 1TS,E00035699,10,67
L23 1UH: E00035597,L23 1UH,E00035597,57,49
L23 1UH: E00035699,L23 1UH,E00035699,59,51
L23 1XJ: E00035602,L23 1XJ,E00035602,48,84
L23 1XJ: E00035699,L23 1XJ,E00035699,9,16
L23 1XL: E00035597,L23 1XL,E00035597,71,58
L23 1XL: E00035698,L23 1XL,E00035698,51,42
L23 1XS: E00035601,L23 1XS,E00035601,6,20
L23 1XS: E00035602,L23 1XS,E00035602,24,80
L23 1XT: E00035601,L23 1XT,E00035601,15,60
L23 1XT: E00035602,L23 1XT,E00035602,10,40
L23 2SR: E00035605,L23 2SR,E00035605,41,95
L23 2SR: E00035610,L23 2SR,E00035610,2,5
L23 2TB: E00035170,L23 2TB,E00035170,1,14
L23 2TB: E00035175,L23 2TB,E00035175,6,86
L23 3AG: E00035182,L23 3AG,E00035182,35,88
L23 3AG: E00035184,L23 3AG,E00035184,5,13
L23 3AN: E00035981,L23 3AN,E00035981,1,1
L23 3AN: E00036005,L23 3AN,E00036005,106,99
L23 3AT: E00036005,L23 3AT,E00036005,1,33
L23 3AT: E00036006,L23 3AT,E00036006,2,67
L23 3BS: E00036005,L23 3BS,E00036005,4,4
L23 3BS: E00036008,L23 3BS,E00036008,89,96
L23 4TB: E00035704,L23 4TB,E00035704,3,8
L23 4TB: E00035706,L23 4TB,E00035706,37,93
L23 4TG: E00035598,L23 4TG,E00035598,1,5
L23 4TG: E00035602,L23 4TG,E00035602,13,59
L23 4TG: E00035699,L23 4TG,E00035699,8,36
L23 4UD: E00035605,L23 4UD,E00035605,3,13
L23 4UD: E00035702,L23 4UD,E00035702,20,87
L23 5RD: E00035162,L23 5RD,E00035162,51,96
L23 5RD: E00036001,L23 5RD,E00036001,2,4
L23 5RY: E00035998,L23 5RY,E00035998,14,24
L23 5RY: E00035999,L23 5RY,E00035999,45,76
L23 5SZ: E00035998,L23 5SZ,E00035998,8,15
L23 5SZ: E00035999,L23 5SZ,E00035999,46,85
L23 5TD: E00035997,L23 5TD,E00035997,6,43
L23 5TD: E00035998,L23 5TD,E00035998,8,57
L23 5TG: E00035999,L23 5TG,E00035999,0,0
L23 5TG: E00036007,L23 5TG,E00036007,11,100
L23 5TJ: E00035975,L23 5TJ,E00035975,4,8
L23 5TJ: E00036007,L23 5TJ,E00036007,49,92
L23 6AB: E00035183,L23 6AB,E00035183,48,98
L23 6AB: E00035187,L23 6AB,E00035187,1,2
L23 6BD: E00035185,L23 6BD,E00035185,49,86
L23 6BD: E00035190,L23 6BD,E00035190,8,14
L23 6TE: E00035179,L23 6TE,E00035179,45,83
L23 6TE: E00035184,L23 6TE,E00035184,9,17
L23 6TP: E00035168,L23 6TP,E00035168,2,50
L23 6TP: E00035169,L23 6TP,E00035169,2,50
L23 6TW: E00035160,L23 6TW,E00035160,8,44
L23 6TW: E00035169,L23 6TW,E00035169,10,56
L23 6TX: E00035183,L23 6TX,E00035183,4,24
L23 6TX: E00035187,L23 6TX,E00035187,13,76
L23 6UA: E00035180,L23 6UA,E00035180,33,83
L23 6UA: E00035183,L23 6UA,E00035183,7,18
L23 6XR: E00035160,L23 6XR,E00035160,4,24
L23 6XR: E00035163,L23 6XR,E00035163,13,76
L23 7TG: E00035175,L23 7TG,E00035175,4,5
L23 7TG: E00035178,L23 7TG,E00035178,73,95
L23 7YX: E00035170,L23 7YX,E00035170,4,40
L23 7YX: E00035173,L23 7YX,E00035173,6,60
L23 8SP: E00035159,L23 8SP,E00035159,2,6
L23 8SP: E00035163,L23 8SP,E00035163,29,94
L23 8SY: E00035163,L23 8SY,E00035163,0,0
L23 8SY: E00035168,L23 8SY,E00035168,49,100
L23 8TF: E00035163,L23 8TF,E00035163,6,17
L23 8TF: E00035168,L23 8TF,E00035168,30,83
L23 8UH: E00035174,L23 8UH,E00035174,56,95
L23 8UH: E00035177,L23 8UH,E00035177,3,5
L23 8UW: E00035174,L23 8UW,E00035174,67,96
L23 8UW: E00035176,L23 8UW,E00035176,3,4
L23 8XN: E00035163,L23 8XN,E00035163,15,88
L23 8XN: E00035193,L23 8XN,E00035193,2,12
L23 9SB: E00035593,L23 9SB,E00035593,2,3
L23 9SB: E00036002,L23 9SB,E00036002,56,97
L23 9SG: E00035594,L23 9SG,E00035594,31,66
L23 9SG: E00036003,L23 9SG,E00036003,16,34
L23 9SR: E00035595,L23 9SR,E00035595,31,39
L23 9SR: E00036003,L23 9SR,E00036003,48,61
L23 9UE: E00035590,L23 9UE,E00035590,5,6
L23 9UE: E00035705,L23 9UE,E00035705,72,94
L23 9UQ: E00035607,L23 9UQ,E00035607,92,94
L23 9UQ: E00035705,L23 9UQ,E00035705,6,6
L23 9XE: E00035598,L23 9XE,E00035598,19,76
L23 9XE: E00035705,L23 9XE,E00035705,6,24
L23 9XQ: E00035608,L23 9XQ,E00035608,74,91
L23 9XQ: E00035705,L23 9XQ,E00035705,7,9
L23 9YW: E00035591,L23 9YW,E00035591,104,67
L23 9YW: E00035699,L23 9YW,E00035699,52,33
L24 0SW: E00034238,L24 0SW,E00034238,10,8
L24 0SW: E00034264,L24 0SW,E00034264,114,92
L24 1UG: E00034158,L24 1UG,E00034158,2,29
L24 1UG: E00034195,L24 1UG,E00034195,5,71
L24 1YR: E00034155,L24 1YR,E00034155,7,6
L24 1YR: E00034156,L24 1YR,E00034156,115,94
L24 2RA: E00034242,L24 2RA,E00034242,13,8
L24 2RA: E00034243,L24 2RA,E00034243,73,44
L24 2RA: E00034252,L24 2RA,E00034252,79,48
L24 2SA: E00034257,L24 2SA,E00034257,6,10
L24 2SA: E00034260,L24 2SA,E00034260,56,90
L24 2UB: E00034243,L24 2UB,E00034243,60,71
L24 2UB: E00034252,L24 2UB,E00034252,24,29
L24 3XF: E00034235,L24 3XF,E00034235,88,98
L24 3XF: E00034255,L24 3XF,E00034255,2,2
L24 4AF: E00062554,L24 4AF,E00062554,2,4
L24 4AF: E00062557,L24 4AF,E00062557,45,96
L24 4AQ: E00062557,L24 4AQ,E00062557,2,5
L24 4AQ: E00062559,L24 4AQ,E00062559,40,95
L24 4BD: E00062555,L24 4BD,E00062555,93,97
L24 4BD: E00062557,L24 4BD,E00062557,3,3
L24 4BH: E00062557,L24 4BH,E00062557,3,6
L24 4BH: E00062558,L24 4BH,E00062558,44,94
L24 4EB: E00062557,L24 4EB,E00062557,22,50
L24 4EB: E00062558,L24 4EB,E00062558,22,50
L24 5RP: E00062554,L24 5RP,E00062554,1,7
L24 5RP: E00062555,L24 5RP,E00062555,14,93
L24 6TE: E00034248,L24 6TE,E00034248,43,98
L24 6TE: E00034251,L24 6TE,E00034251,1,2
L24 9LG: E00176742,L24 9LG,E00176742,81,70
L24 9LG: E00176745,L24 9LG,E00176745,11,10
L24 9LG: E00176765,L24 9LG,E00176765,23,20
L24 9LJ: E00176742,L24 9LJ,E00176742,27,26
L24 9LJ: E00176743,L24 9LJ,E00176743,41,39
L24 9LJ: E00176765,L24 9LJ,E00176765,37,35
L24 9LL: E00176630,L24 9LL,E00176630,4,2
L24 9LL: E00176742,L24 9LL,E00176742,87,53
L24 9LL: E00176743,L24 9LL,E00176743,47,28
L24 9LL: E00176765,L24 9LL,E00176765,27,16
L24 9LR: E00176742,L24 9LR,E00176742,6,10
L24 9LR: E00176743,L24 9LR,E00176743,20,33
L24 9LR: E00176765,L24 9LR,E00176765,34,57
L24 9LW: E00176745,L24 9LW,E00176745,181,90
L24 9LW: E00176765,L24 9LW,E00176765,21,10
L25 0NQ: E00033105,L25 0NQ,E00033105,72,96
L25 0NQ: E00033107,L25 0NQ,E00033107,3,4
L25 0NX: E00033107,L25 0NX,E00033107,104,97
L25 0NX: E00033110,L25 0NX,E00033110,3,3
L25 0PA: E00176630,L25 0PA,E00176630,37,90
L25 0PA: E00176742,L25 0PA,E00176742,4,10
L25 0PZ: E00033094,L25 0PZ,E00033094,133,96
L25 0PZ: E00176630,L25 0PZ,E00176630,5,4
L25 1GA: E00034315,L25 1GA,E00034315,5,45
L25 1GA: E00034346,L25 1GA,E00034346,6,55
L25 1JA: E00034315,L25 1JA,E00034315,3,19
L25 1JA: E00034346,L25 1JA,E00034346,13,81
L25 1NN: E00034317,L25 1NN,E00034317,42,89
L25 1NN: E00034347,L25 1NN,E00034347,5,11
L25 1NP: E00034317,L25 1NP,E00034317,27,84
L25 1NP: E00034320,L25 1NP,E00034320,5,16
L25 1NX: E00034316,L25 1NX,E00034316,37,86
L25 1NX: E00034317,L25 1NX,E00034317,6,14
L25 1NZ: E00034317,L25 1NZ,E00034317,3,6
L25 1NZ: E00034320,L25 1NZ,E00034320,2,4
L25 1NZ: E00034330,L25 1NZ,E00034330,45,90
L25 1PU: E00034317,L25 1PU,E00034317,3,7
L25 1PU: E00034347,L25 1PU,E00034347,40,93
L25 1PY: E00034317,L25 1PY,E00034317,7,23
L25 1PY: E00034319,L25 1PY,E00034319,24,77
L25 1QP: E00034315,L25 1QP,E00034315,6,15
L25 1QP: E00034347,L25 1QP,E00034347,35,85
L25 1QW: E00034315,L25 1QW,E00034315,56,77
L25 1QW: E00034317,L25 1QW,E00034317,8,11
L25 1QW: E00034347,L25 1QW,E00034347,9,12
L25 1RR: E00034315,L25 1RR,E00034315,42,95
L25 1RR: E00034347,L25 1RR,E00034347,2,5
L25 2NN: E00034324,L25 2NN,E00034324,8,25
L25 2NN: E00034334,L25 2NN,E00034334,24,75
L25 2NQ: E00034329,L25 2NQ,E00034329,22,88
L25 2NQ: E00034334,L25 2NQ,E00034334,3,12
L25 2NU: E00034329,L25 2NU,E00034329,27,64
L25 2NU: E00034334,L25 2NU,E00034334,15,36
L25 2SN: E00034317,L25 2SN,E00034317,12,31
L25 2SN: E00034320,L25 2SN,E00034320,27,69
L25 3NW: E00034005,L25 3NW,E00034005,19,70
L25 3NW: E00034006,L25 3NW,E00034006,8,30
L25 3PB: E00034448,L25 3PB,E00034448,36,69
L25 3PB: E00034472,L25 3PB,E00034472,16,31
L25 3PL: E00034445,L25 3PL,E00034445,5,16
L25 3PL: E00034468,L25 3PL,E00034468,26,84
L25 3QJ: E00034446,L25 3QJ,E00034446,26,84
L25 3QJ: E00034468,L25 3QJ,E00034468,5,16
L25 3RL: E00033993,L25 3RL,E00033993,70,97
L25 3RL: E00034008,L25 3RL,E00034008,2,3
L25 3RT: E00033993,L25 3RT,E00033993,15,45
L25 3RT: E00034008,L25 3RT,E00034008,18,55
L25 3RY: E00034005,L25 3RY,E00034005,5,20
L25 3RY: E00034006,L25 3RY,E00034006,20,80
L25 4AG: E00034446,L25 4AG,E00034446,51,89
L25 4AG: E00034468,L25 4AG,E00034468,6,11
L25 4RF: E00034449,L25 4RF,E00034449,8,89
L25 4RF: E00034473,L25 4RF,E00034473,1,11
L25 4RZ: E00034445,L25 4RZ,E00034445,21,95
L25 4RZ: E00034461,L25 4RZ,E00034461,1,5
L25 4TD: E00034461,L25 4TD,E00034461,9,53
L25 4TD: E00034467,L25 4TD,E00034467,8,47
L25 4UE: E00034461,L25 4UE,E00034461,40,95
L25 4UE: E00034468,L25 4UE,E00034468,2,5
L25 4UG: E00034444,L25 4UG,E00034444,4,7
L25 4UG: E00034462,L25 4UG,E00034462,54,93
L25 5BA: E00032551,L25 5BA,E00032551,1,7
L25 5BA: E00032552,L25 5BA,E00032552,14,93
L25 5HP: E00034479,L25 5HP,E00034479,88,96
L25 5HP: E00165717,L25 5HP,E00165717,4,4
L25 5JP: E00034436,L25 5JP,E00034436,11,79
L25 5JP: E00034471,L25 5JP,E00034471,3,21
L25 5JZ: E00034445,L25 5JZ,E00034445,27,63
L25 5JZ: E00034446,L25 5JZ,E00034446,16,37
L25 5LX: E00032551,L25 5LX,E00032551,4,5
L25 5LX: E00032552,L25 5LX,E00032552,78,95
L25 5NA: E00032540,L25 5NA,E00032540,40,77
L25 5NA: E00032551,L25 5NA,E00032551,12,23
L25 5ND: E00032551,L25 5ND,E00032551,12,38
L25 5ND: E00032552,L25 5ND,E00032552,20,63
L25 5NE: E00032551,L25 5NE,E00032551,36,78
L25 5NE: E00032552,L25 5NE,E00032552,10,22
L25 5NF: E00032551,L25 5NF,E00032551,90,91
L25 5NF: E00032552,L25 5NF,E00032552,9,9
L25 5NR: E00034435,L25 5NR,E00034435,24,31
L25 5NR: E00034436,L25 5NR,E00034436,53,69
L25 5NS: E00034436,L25 5NS,E00034436,54,92
L25 5NS: E00034479,L25 5NS,E00034479,5,8
L25 6DU: E00034436,L25 6DU,E00034436,14,78
L25 6DU: E00034471,L25 6DU,E00034471,4,22
L25 6HD: E00034434,L25 6HD,E00034434,33,52
L25 6HD: E00034478,L25 6HD,E00034478,31,48
L25 7RP: E00034439,L25 7RP,E00034439,4,33
L25 7RP: E00034451,L25 7RP,E00034451,8,67
L25 7RR: E00034439,L25 7RR,E00034439,3,15
L25 7RR: E00034451,L25 7RR,E00034451,17,85
L25 7TE: E00034442,L25 7TE,E00034442,47,65
L25 7TE: E00034451,L25 7TE,E00034451,25,35
L25 7UJ: E00033084,L25 7UJ,E00033084,48,96
L25 7UJ: E00033107,L25 7UJ,E00033107,2,4
L25 7UN: E00033091,L25 7UN,E00033091,9,35
L25 7UN: E00033110,L25 7UN,E00033110,17,65
L25 8RN: E00034435,L25 8RN,E00034435,1,5
L25 8RN: E00034476,L25 8RN,E00034476,19,95
L25 8SQ: E00034435,L25 8SQ,E00034435,1,2
L25 8SQ: E00034481,L25 8SQ,E00034481,48,98
L25 8TF: E00033120,L25 8TF,E00033120,7,10
L25 8TF: E00033126,L25 8TF,E00033126,64,90
L25 9GE: E00032592,L25 9GE,E00032592,10,36
L25 9GE: E00032604,L25 9GE,E00032604,18,64
L25 9GF: E00032592,L25 9GF,E00032592,38,50
L25 9GF: E00032604,L25 9GF,E00032604,24,32
L25 9GF: E00032606,L25 9GF,E00032606,14,18
L25 9GG: E00032592,L25 9GG,E00032592,13,20
L25 9GG: E00032604,L25 9GG,E00032604,7,11
L25 9GG: E00032606,L25 9GG,E00032606,45,69
L25 9GH: E00034440,L25 9GH,E00034440,8,62
L25 9GH: E00034441,L25 9GH,E00034441,5,38
L25 9LS: E00032602,L25 9LS,E00032602,5,17
L25 9LS: E00032603,L25 9LS,E00032603,24,83
L25 9NL: E00033120,L25 9NL,E00033120,13,68
L25 9NL: E00034441,L25 9NL,E00034441,6,32
L25 9PU: E00032601,L25 9PU,E00032601,15,94
L25 9PU: E00032604,L25 9PU,E00032604,1,6
L25 9QB: E00032591,L25 9QB,E00032591,21,81
L25 9QB: E00032601,L25 9QB,E00032601,5,19
L25 9QE: E00032592,L25 9QE,E00032592,13,22
L25 9QE: E00032603,L25 9QE,E00032603,45,78
L25 9QF: E00032592,L25 9QF,E00032592,4,3
L25 9QF: E00032604,L25 9QF,E00032604,128,97
L25 9QH: E00032602,L25 9QH,E00032602,33,65
L25 9QH: E00032603,L25 9QH,E00032603,18,35
L25 9SE: E00032590,L25 9SE,E00032590,5,6
L25 9SE: E00032598,L25 9SE,E00032598,80,94
L25 9SN: E00032602,L25 9SN,E00032602,67,81
L25 9SN: E00032603,L25 9SN,E00032603,16,19
L25 9ST: E00032604,L25 9ST,E00032604,43,96
L25 9ST: E00032605,L25 9ST,E00032605,2,4
L25 9TA: E00032591,L25 9TA,E00032591,7,28
L25 9TA: E00032601,L25 9TA,E00032601,18,72
L26 0TH: E00032547,L26 0TH,E00032547,2,33
L26 0TH: E00032560,L26 0TH,E00032560,4,67
L26 0TQ: E00032547,L26 0TQ,E00032547,15,33
L26 0TQ: E00032583,L26 0TQ,E00032583,31,67
L26 0TU: E00032570,L26 0TU,E00032570,2,4
L26 0TU: E00032586,L26 0TU,E00032586,53,96
L26 1TF: E00032587,L26 1TF,E00032587,1,2
L26 1TF: E00032588,L26 1TF,E00032588,46,98
L26 1TS: E00032581,L26 1TS,E00032581,17,27
L26 1TS: E00032589,L26 1TS,E00032589,2,3
L26 1TS: E00032596,L26 1TS,E00032596,45,70
L26 1TY: E00032594,L26 1TY,E00032594,67,97
L26 1TY: E00032595,L26 1TY,E00032595,2,3
L26 6BA: E00032537,L26 6BA,E00032537,64,33
L26 6BA: E00172017,L26 6BA,E00172017,70,36
L26 6BA: E00172131,L26 6BA,E00172131,58,30
L26 6BD: E00032537,L26 6BD,E00032537,8,50
L26 6BD: E00172131,L26 6BD,E00172131,8,50
L26 6BF: E00032537,L26 6BF,E00032537,23,49
L26 6BF: E00172131,L26 6BF,E00172131,24,51
L26 6LN: E00172016,L26 6LN,E00172016,149,90
L26 6LN: E00172017,L26 6LN,E00172017,16,10
L26 6LX: E00032537,L26 6LX,E00032537,66,89
L26 6LX: E00172016,L26 6LX,E00172016,8,11
L26 7UQ: E00032538,L26 7UQ,E00032538,41,95
L26 7UQ: E00032544,L26 7UQ,E00032544,2,5
L26 9SA: E00032571,L26 9SA,E00032571,15,48
L26 9SA: E00032584,L26 9SA,E00032584,16,52
L26 9TB: E00032571,L26 9TB,E00032571,20,22
L26 9TB: E00032584,L26 9TB,E00032584,73,78
L26 9UD: E00032580,L26 9UD,E00032580,27,37
L26 9UD: E00032597,L26 9UD,E00032597,46,63
L26 9UJ: E00032568,L26 9UJ,E00032568,40,83
L26 9UJ: E00032578,L26 9UJ,E00032578,8,17
L26 9WA: E00032568,L26 9WA,E00032568,4,11
L26 9WA: E00032575,L26 9WA,E00032575,20,56
L26 9WA: E00032577,L26 9WA,E00032577,12,33
L26 9YD: E00032571,L26 9YD,E00032571,35,95
L26 9YD: E00032586,L26 9YD,E00032586,2,5
L26 9YT: E00032568,L26 9YT,E00032568,6,38
L26 9YT: E00032578,L26 9YT,E00032578,10,63
L27 1XJ: E00034332,L27 1XJ,E00034332,7,12
L27 1XJ: E00034333,L27 1XJ,E00034333,53,88
L27 5RZ: E00033996,L27 5RZ,E00033996,13,81
L27 5RZ: E00034017,L27 5RZ,E00034017,3,19
L27 6WQ: E00034001,L27 6WQ,E00034001,20,80
L27 6WQ: E00034016,L27 6WQ,E00034016,5,20
L27 7DB: E00034002,L27 7DB,E00034002,62,91
L27 7DB: E00034004,L27 7DB,E00034004,6,9
L27 7DE: E00034001,L27 7DE,E00034001,13,31
L27 7DE: E00034002,L27 7DE,E00034002,29,69
L28 0QU: E00033659,L28 0QU,E00033659,30,77
L28 0QU: E00033660,L28 0QU,E00033660,9,23
L28 1RN: E00032510,L28 1RN,E00032510,113,98
L28 1RN: E00032514,L28 1RN,E00032514,2,2
L28 4EA: E00032513,L28 4EA,E00032513,76,97
L28 4EA: E00033797,L28 4EA,E00033797,2,3
L28 4EX: E00032512,L28 4EX,E00032512,7,29
L28 4EX: E00172035,L28 4EX,E00172035,17,71
L29 3EA: E00035702,L29 3EA,E00035702,2,29
L29 3EA: E00035876,L29 3EA,E00035876,5,71
L30 1BB: E00035709,L30 1BB,E00035709,17,14
L30 1BB: E00035711,L30 1BB,E00035711,101,86
L30 1BD: E00035709,L30 1BD,E00035709,50,91
L30 1BD: E00035711,L30 1BD,E00035711,5,9
L30 1RQ: E00035707,L30 1RQ,E00035707,5,36
L30 1RQ: E00035746,L30 1RQ,E00035746,9,64
L30 1RT: E00035742,L30 1RT,E00035742,151,79
L30 1RT: E00035743,L30 1RT,E00035743,41,21
L30 1TB: E00035684,L30 1TB,E00035684,23,25
L30 1TB: E00035710,L30 1TB,E00035710,70,75
L30 1TD: E00035684,L30 1TD,E00035684,59,89
L30 1TD: E00035710,L30 1TD,E00035710,7,11
L30 1TE: E00035684,L30 1TE,E00035684,32,84
L30 1TE: E00035710,L30 1TE,E00035710,6,16
L30 1TG: E00035684,L30 1TG,E00035684,32,86
L30 1TG: E00035710,L30 1TG,E00035710,5,14
L30 1TH: E00035707,L30 1TH,E00035707,42,51
L30 1TH: E00035744,L30 1TH,E00035744,40,49
L30 1TQ: E00035684,L30 1TQ,E00035684,28,85
L30 1TQ: E00035710,L30 1TQ,E00035710,5,15
L30 2PE: E00035893,L30 2PE,E00035893,10,21
L30 2PE: E00035898,L30 2PE,E00035898,38,79
L30 2RZ: E00035891,L30 2RZ,E00035891,29,36
L30 2RZ: E00035892,L30 2RZ,E00035892,51,64
L30 3TJ: E00035884,L30 3TJ,E00035884,58,97
L30 3TJ: E00035921,L30 3TJ,E00035921,2,3
L30 5SR: E00035922,L30 5SR,E00035922,13,93
L30 5SR: E00035927,L30 5SR,E00035927,1,7
L30 8RD: E00035666,L30 8RD,E00035666,1,2
L30 8RD: E00035737,L30 8RD,E00035737,47,98
L30 9SZ: E00035579,L30 9SZ,E00035579,29,76
L30 9SZ: E00035716,L30 9SZ,E00035716,9,24
L31 0AU: E00035933,L31 0AU,E00035933,38,48
L31 0AU: E00035946,L31 0AU,E00035946,41,52
L31 0AZ: E00035933,L31 0AZ,E00035933,23,46
L31 0AZ: E00035946,L31 0AZ,E00035946,27,54
L31 0BG: E00035933,L31 0BG,E00035933,79,78
L31 0BG: E00035951,L31 0BG,E00035951,22,22
L31 0BQ: E00035935,L31 0BQ,E00035935,62,81
L31 0BQ: E00035947,L31 0BQ,E00035947,15,19
L31 0BW: E00035930,L31 0BW,E00035930,27,64
L31 0BW: E00035947,L31 0BW,E00035947,15,36
L31 0DA: E00035930,L31 0DA,E00035930,67,96
L31 0DA: E00035947,L31 0DA,E00035947,3,4
L31 1AG: E00035693,L31 1AG,E00035693,8,67
L31 1AG: E00035944,L31 1AG,E00035944,4,33
L31 1BP: E00032720,L31 1BP,E00032720,4,17
L31 1BP: E00035696,L31 1BP,E00035696,19,83
L31 1DE: E00035690,L31 1DE,E00035690,76,95
L31 1DE: E00170477,L31 1DE,E00170477,4,5
L31 1GA: E00035690,L31 1GA,E00035690,65,73
L31 1GA: E00170477,L31 1GA,E00170477,24,27
L31 1HH: E00035944,L31 1HH,E00035944,1,33
L31 1HH: E00035945,L31 1HH,E00035945,2,67
L31 1HN: E00035693,L31 1HN,E00035693,2,17
L31 1HN: E00129306,L31 1HN,E00129306,10,83
L31 1JF: E00035690,L31 1JF,E00035690,2,4
L31 1JF: E00170477,L31 1JF,E00170477,52,96
L31 1LL: E00035690,L31 1LL,E00035690,23,13
L31 1LL: E00170477,L31 1LL,E00170477,149,87
L31 2HX: E00035803,L31 2HX,E00035803,80,91
L31 2HX: E00035950,L31 2HX,E00035950,8,9
L31 2JX: E00035801,L31 2JX,E00035801,2,6
L31 2JX: E00035807,L31 2JX,E00035807,29,94
L31 2LH: E00035795,L31 2LH,E00035795,2,3
L31 2LH: E00035800,L31 2LH,E00035800,65,97
L31 2LN: E00035795,L31 2LN,E00035795,33,97
L31 2LN: E00035800,L31 2LN,E00035800,1,3
L31 3DB: E00035942,L31 3DB,E00035942,1,8
L31 3DB: E00035943,L31 3DB,E00035943,12,92
L31 3DG: E00035942,L31 3DG,E00035942,1,1
L31 3DG: E00035943,L31 3DG,E00035943,75,99
L31 3HG: E00035967,L31 3HG,E00035967,2,33
L31 3HG: E00035971,L31 3HG,E00035971,4,67
L31 4DN: E00035797,L31 4DN,E00035797,9,90
L31 4DN: E00035806,L31 4DN,E00035806,1,10
L31 4DU: E00035796,L31 4DU,E00035796,2,3
L31 4DU: E00035806,L31 4DU,E00035806,58,97
L31 4DW: E00035797,L31 4DW,E00035797,3,9
L31 4DW: E00035806,L31 4DW,E00035806,32,91
L31 4EW: E00035816,L31 4EW,E00035816,2,33
L31 4EW: E00129287,L31 4EW,E00129287,4,67
L31 7FB: E00035821,L31 7FB,E00035821,4,27
L31 7FB: E00035822,L31 7FB,E00035822,6,40
L31 7FB: E00035825,L31 7FB,E00035825,5,33
L31 9AL: E00035957,L31 9AL,E00035957,2,3
L31 9AL: E00035960,L31 9AL,E00035960,56,97
L31 9BH: E00035941,L31 9BH,E00035941,77,99
L31 9BH: E00035955,L31 9BH,E00035955,1,1
L31 9BQ: E00035941,L31 9BQ,E00035941,70,99
L31 9BQ: E00035956,L31 9BQ,E00035956,1,1
L31 9DD: E00035945,L31 9DD,E00035945,2,40
L31 9DD: E00035948,L31 9DD,E00035948,3,60
L3  1DX: E00033670,L3  1DX,E00033670,2,2
L3  1DX: E00176680,L3  1DX,E00176680,84,98
L32 0RB: E00032983,L32 0RB,E00032983,1,2
L32 0RB: E00032984,L32 0RB,E00032984,47,98
L32 0RG: E00032968,L32 0RG,E00032968,64,94
L32 0RG: E00032984,L32 0RG,E00032984,4,6
L32 0RP: E00032968,L32 0RP,E00032968,60,94
L32 0RP: E00032983,L32 0RP,E00032983,4,6
L32 0SB: E00032711,L32 0SB,E00032711,6,8
